,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
435,2355,敬鵬,"1,200,055",575,"32,060,142",26.65,26.85,26.55,26.80,+,0.15,26.80,6,26.85,40,25.52
436,2356,英業達,"5,523,886","2,622","126,335,220",23.00,23.00,22.80,22.90,-,0.1,22.85,42,22.90,113,11.51
437,2357,華碩,"1,185,284","1,026","303,862,420",255.00,257.50,254.00,256.00, ,0.0,256.00,15,256.50,18,13.13
438,2358,廷鑫,"97,001",60,"1,443,764",15.00,15.00,14.80,14.95,-,0.05,14.90,2,14.95,15,62.29
439,2359,所羅門,"183,691",121,"3,500,429",19.05,19.20,19.00,19.00,-,0.05,19.00,23,19.05,2,18.10
440,2360,致茂,"662,842",573,"107,186,904",159.50,163.00,159.50,162.50,+,2.0,162.00,5,162.50,13,31.86
441,2362,藍天,"1,056,558",510,"32,679,488",30.80,31.10,30.60,30.95,+,0.3,30.95,2,31.00,52,45.51
442,2363,矽統,"10,681,699","3,238","142,085,015",13.45,13.50,13.10,13.35,-,0.05,13.30,329,13.35,152,0.00
443,2364,倫飛,"1,916,742",324,"7,041,250",3.50,3.85,3.50,3.85,+,0.35,3.85,"2,074",--,0,0.00
444,2365,昆盈,"771,616",306,"7,960,731",10.30,10.45,10.20,10.30,+,0.05,10.25,15,10.30,2,13.73
445,2367,燿華,"5,905,638","2,322","130,162,443",22.00,22.30,21.70,22.25,+,0.25,22.20,74,22.25,57,39.04
446,2368,金像電,"29,669,637","13,928","1,441,065,672",49.25,49.60,48.00,48.50,-,0.75,48.45,14,48.50,107,16.78
447,2369,菱生,"1,375,300",486,"16,024,876",11.60,11.75,11.50,11.65,+,0.15,11.65,18,11.70,24,0.00
448,2371,大同,"3,391,322",722,"55,817,130",16.25,16.75,16.20,16.70,+,0.55,16.70,159,16.75,33,8.84
449,2373,震旦行,"22,810",33,"1,969,660",86.30,86.70,86.00,86.70,+,0.4,86.00,4,86.70,3,15.54
450,2374,佳能,"380,450",215,"4,952,497",12.90,13.10,12.85,13.05,+,0.2,13.00,9,13.05,2,0.00
451,2375,凱美,"684,210",542,"29,119,183",42.10,42.90,42.00,42.55,+,0.55,42.50,2,42.55,3,13.38
452,2376,技嘉,"3,603,793","2,419","293,676,662",81.40,82.20,81.00,81.30,+,0.4,81.30,11,81.40,1,16.90
453,2377,微星,"4,113,512","2,961","573,841,908",139.00,141.00,138.00,138.50,-,0.5,138.00,205,138.50,24,18.34
454,2379,瑞昱,"3,525,851","2,907","1,311,549,572",372.50,378.50,369.00,370.50,-,5.0,370.50,9,371.00,14,26.18
455,2380,虹光,"1,309,904",578,"7,322,693",5.46,5.70,5.44,5.66,+,0.2,5.57,7,5.66,38,0.00
456,2382,廣達,"7,201,912","4,049","568,563,268",78.80,79.50,78.50,78.60,-,0.2,78.60,28,78.70,4,17.12
457,2383,台光電,"2,181,398","1,507","343,152,679",156.00,158.00,156.00,158.00,+,1.5,158.00,34,158.50,136,13.92
458,2385,群光,"3,397,582","1,984","289,955,821",86.60,87.10,84.60,84.70,-,2.1,84.70,84,84.90,51,11.14
459,2387,精元,"16,430,557","10,159","1,192,267,794",70.00,74.50,70.00,71.10,X,0.0,71.10,52,71.20,1,44.16
460,2388,威盛,"1,219,555",749,"47,810,895",39.45,39.75,38.70,39.00, ,0.0,39.00,45,39.05,21,0.00
461,2390,云辰,"1,750,254",830,"31,573,422",18.00,18.25,17.90,18.00,+,0.15,18.00,48,18.05,68,22.78
